id,title,company,location,created,description,latitude,longitude,salary_min,salary_max,redirect_url
5301621849,Product Data Analyst,Harnham,"Bromley, South East London",2025-07-14T05:46:15Z,"Senior Data Analyst / Data Manager Fast-Growth Consumer Subscription Brand – Hybrid (Greater London Office, 3 Days a Week) A fast-moving consumer business in the prize competition and subscription entertainment space is looking to bring data in-house for the first time, hiring a commercially-minded Senior Analyst to build out core infrastructure and provide insight to marketing, product, and leadership teams. This is a hands-on role suited to someone who enjoys full-stack analytics — from data …",51.405701,0.01435,57561.73,57561.73,https://www.adzuna.co.uk/jobs/land/ad/5301621849?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=21025BE254E2C75538A3ACC74CEBF65B98020898
5313281796,Commercial Data Analyst,Harnham,"London, UK",2025-07-20T08:21:09Z,"Commercial Data Analyst  London (Tottenham Court Road) - Hybrid (1-2 days/week in-office, Wednesdays required)  £42,700 - £53,700  Annual Bonus  3-5 years' experience | SQL, Python & BI tools (Power BI / DOMO) An exciting opportunity to take full ownership of analytics in a global business operating at the intersection of entertainment, media, and consumer engagement . This is a standalone data role within a collaborative commercial finance team, ideal for someone who thrives on autonomy and wa…",51.503378,-0.139134,71626.08,71626.08,https://www.adzuna.co.uk/jobs/land/ad/5313281796?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=FC137AAFECE9D0D6B6AAC5E5ED463153116D2C38
5313281406,Senior Data Analyst,Publicis Media,"London, UK",2025-07-20T08:21:02Z,"Company Founded in 1926 by Marcel Bleustein-Blanchet, today Publicis Groupe is the second largest communications group in the world and a leader in marketing, communication, and digital business transformation, led by Arthur Sadoun, the third CEO in its history. Publicis Groupe is positioned at every step of the value chain, from consulting to execution, combining marketing transformation and digital business transformation. Publicis Groupe is a privileged partner in its clients’ transformation…",,,36445.68,36445.68,https://www.adzuna.co.uk/jobs/land/ad/5313281406?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=1906E1C43A9A79AE81A1C8C8E2F1D3FDF2C2E525
5313278890,Senior Data Analyst,Publicis Media,"The City, Central London",2025-07-20T08:20:24Z,"Company Founded in 1926 by Marcel Bleustein-Blanchet, today Publicis Groupe is the second largest communications group in the world and a leader in marketing, communication, and digital business transformation, led by Arthur Sadoun, the third CEO in its history. Publicis Groupe is positioned at every step of the value chain, from consulting to execution, combining marketing transformation and digital business transformation. Publicis Groupe is a privileged partner in its clients’ transformation…",,,36889.75,36889.75,https://www.adzuna.co.uk/jobs/land/ad/5313278890?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=A2D0F9AEA6DC02B79E9BBD5A29F580A54BA3B1C2
5248997577,Azure Data Analyst,The Digital Recruitment Company,"The City, Central London",2025-06-13T19:17:53Z,"Cloud Monitoring & Data Analyst Job Type Permanent Salary: £60,000 - £70,000 DOE Location: Kingston Upon Thames – Hybrid 1-2 days in the office Consultant: Mags Rendle The Company TDRC are excited to be working with a global leader in security evidence management software. Their systems play a crucial role in the private security sector as well as within healthcare, retail and within sport. They are supplying and supporting cameras and software to clients in 40 countries and have offices in the…",,,53766.12,53766.12,https://www.adzuna.co.uk/jobs/land/ad/5248997577?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=3654983AC1F14FB6E74003EC21E833A99762E486
5170676232,Azure Data Analyst,The Digital Recruitment Company,"London, UK",2025-04-30T15:54:58Z,"Cloud Monitoring & Data Analyst Job Type Permanent Salary: £60,000 - £70,000 DOE Location: Kingston Upon Thames – Hybrid 1-2 days in the office Consultant: Mags Rendle The Company TDRC are excited to be working with a global leader in security evidence management software. Their systems play a crucial role in the private security sector as well as within healthcare, retail and within sport. They are supplying and supporting cameras and software to clients in 40 countries and have offices in the…",,,53118.85,53118.85,https://www.adzuna.co.uk/jobs/land/ad/5170676232?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=BE80BC6A887B8EBCE0CDE5FF48E4104B43BBE780
5288376825,Data Analyst - SAS,InterQuest Group,"London, UK",2025-07-06T02:51:06Z," The Role: Sitting at the heart of our data transformation, this role supports the development, implementation, and operation of Data Management Frameworks . You’ll be working with metadata management, data harmonisation, quality score carding, data lineage, and profiling —all critical for building robust data governance. What You’ll Be Doing: ✅ Applying SAS and other analytical tools to extract insights from complex data sets ✅ Profiling and scoring data quality to drive real business impact ✅…",,,63420.82,63420.82,https://www.adzuna.co.uk/jobs/land/ad/5288376825?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=15D9F3D38E387C32DF79B7FB1DA8F5506960A8C9
5288373792,Data Analyst - SAS,InterQuest Group,"The City, Central London",2025-07-06T02:47:35Z," The Role: Sitting at the heart of our data transformation, this role supports the development, implementation, and operation of Data Management Frameworks . You’ll be working with metadata management, data harmonisation, quality score carding, data lineage, and profiling —all critical for building robust data governance. What You’ll Be Doing: ✅ Applying SAS and other analytical tools to extract insights from complex data sets ✅ Profiling and scoring data quality to drive real business impact ✅…",,,64193.57,64193.57,https://www.adzuna.co.uk/jobs/land/ad/5288373792?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=B2755C9D48AFC1F8F3D15170AC49BC939356B732
5301623915,Senior Data Analyst,Harnham,"The City, Central London",2025-07-14T05:46:47Z,"SENIOR PRODUCT ANALYST UP TO £75,000 HYBRID – SOUTH EAST LONDON – 3 days a week in the office THE COMPANY This prize competition business operates with a subscription-based model, and they are currently going through a rapid expansion! THE ROLE As a Senior Analyst, you can expect to be involved in the following: Take ownership on product analytics projects from the business Deliver on projects to support the rapid growth and international expansion they are going through Providing actionable in…",,,67339.62,67339.62,https://www.adzuna.co.uk/jobs/land/ad/5301623915?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=0488727F70044268F0E749C4EAE5514A6EE6B7E4
5301623551,Senior Data Analyst,Harnham,"London, UK",2025-07-14T05:46:42Z,"SENIOR PRODUCT ANALYST UP TO £75,000 HYBRID – SOUTH EAST LONDON – 3 days a week in the office THE COMPANY This prize competition business operates with a subscription-based model, and they are currently going through a rapid expansion! THE ROLE As a Senior Analyst, you can expect to be involved in the following: Take ownership on product analytics projects from the business Deliver on projects to support the rapid growth and international expansion they are going through Providing actionable in…",,,66528.95,66528.95,https://www.adzuna.co.uk/jobs/land/ad/5301623551?se=eLpRAe1o8BGOTMe40IxpVA&utm_medium=api&utm_source=71ed0f1d&v=F3E651B17250E1366DF211FC445568F51BF96A25
